Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_VALU,SQ_INSTS_SALU,FETCH_SIZE,WRITE_SIZE
0,"genfock::HIP_GPU::kin_ov_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*, double*) [clone .kd]",0,0,4,122848,122848,256,128,9216,0,64,48,3567808,0x0,0x7f8b6a03f900,4183,92,147.3750000000,0.0000000000
1,"genfock::HIP_GPU::nuc_attr_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*) [clone .kd]",0,0,5,122848,122848,256,128,9216,0,44,88,3533824,0x0,0x7f8b6a03f6c0,1381140,481064,175.3125000000,42.2500000000
2,"genfock::HIP_GPU::kin_ov_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*, double*) [clone .kd]",0,0,7,122848,122848,128,128,9216,0,64,48,3567808,0x0,0x7f8b6a03f900,1397,34,39.0625000000,0.0000000000
3,"genfock::HIP_GPU::nuc_attr_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*) [clone .kd]",0,0,8,122848,122848,128,128,9216,0,44,88,3533824,0x0,0x7f8b6a03f6c0,427219,150891,140.2500000000,0.0000000000
4,"genfock::HIP_GPU::kin_ov_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*, double*) [clone .kd]",0,0,10,122848,122848,128,128,9216,0,64,48,3567808,0x0,0x7f8b6a03f900,1397,34,67.3125000000,0.0000000000
5,"genfock::HIP_GPU::nuc_attr_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*) [clone .kd]",0,0,11,122848,122848,128,128,9216,0,44,88,3533824,0x0,0x7f8b6a03f6c0,461647,160404,228.0000000000,29.8125000000
6,"genfock::HIP_GPU::kin_ov_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*, double*) [clone .kd]",0,0,13,122848,122848,128,128,9216,0,64,48,3567808,0x0,0x7f8b6a03f900,1397,34,48.5000000000,0.0000000000
7,"genfock::HIP_GPU::nuc_attr_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*) [clone .kd]",0,0,14,122848,122848,128,128,9216,0,44,88,3533824,0x0,0x7f8b6a03f6c0,424483,150135,161.6875000000,21.0000000000
8,"genfock::HIP_GPU::kin_ov_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*, double*) [clone .kd]",0,0,16,122848,122848,128,128,9216,0,64,48,3567808,0x0,0x7f8b6a03f900,1397,34,49.9375000000,0.0000000000
9,"genfock::HIP_GPU::nuc_attr_GPU_kernel_1_1(unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double const*, double const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, double*) [clone .kd]",0,0,17,122848,122848,128,128,9216,0,44,88,3533824,0x0,0x7f8b6a03f6c0,427599,150996,146.5000000000,0.0000000000
